month	year	month	qu	cprice	tprice	incom	q1	q2	q3	q4	bprice	wprice	oprice
"Jan 1990"	1990	1	.55	12.12	18.6	1640.87	1	0	0	0	3.47	28.15	1
"Feb 1990"	1990	2	.65	12.12	18.6	1538.6	1	0	0	0	3.4	28.15	1
"Mar 1990"	1990	3	.66	12.12	18.6	1680.93	1	0	0	0	3.26	28.33	1
"Apr 1990"	1990	4	.66	12.12	18.6	1656.2	0	1	0	0	3.46	28.49	1
"May 1990"	1990	5	.64	12.12	18.6	1700.8	0	1	0	0	3.47	28.55	1
"Jun 1990"	1990	6	.65	12.12	18.6	1732.67	0	1	0	0	3.68	28.55	1
"Jul 1990"	1990	7	.62	12.12	18.6	1650.27	0	0	1	0	3.67	28.84	1
"Aug 1990"	1990	8	.61	12.12	18.6	1677.8	0	0	1	0	3.63	28.84	1
"Sep 1990"	1990	9	.63	12.12	18.6	1677.27	0	0	1	0	3.35	28.86	1
"Oct 1990"	1990	10	.63	12.12	18.6	1723.53	0	0	0	1	3.42	28.86	1
"Nov 1990"	1990	11	.7	12.12	18.6	1719.73	0	0	0	1	3.36	28.86	1
"Dec 1990"	1990	12	1.04	12.12	18.6	1807.73	0	0	0	1	3.32	28.86	1
"Jan 1991"	1991	1	.74	12	18.60396	1759.079	1	0	0	0	3.247525	29.11881	1.01
"Feb 1991"	1991	2	.67	12	18.41584	1639.406	1	0	0	0	3.237624	29.11881	1.01
"Mar 1991"	1991	3	.66	11.88235	18.23529	1759.412	1	0	0	0	3.156863	28.97059	1.02
"Apr 1991"	1991	4	.72	11.88235	18.23529	1720.98	0	1	0	0	3.460784	29.20588	1.02
"May 1991"	1991	5	.66	11.88235	18.23529	1774.441	0	1	0	0	3.411765	29.22549	1.02
"Jun 1991"	1991	6	.67	11.88235	18.04902	1770.588	0	1	0	0	3.666667	29.2451	1.02
"Jul 1991"	1991	7	.61	11.76699	17.87379	1741.165	0	0	1	0	3.640777	29.24272	1.03
"Aug 1991"	1991	8	.59	11.65385	17.88462	1715	0	0	1	0	3.480769	28.96154	1.04
"Sep 1991"	1991	9	.66	11.54286	17.71429	1662.219	0	0	1	0	3.342857	28.70476	1.05
"Oct 1991"	1991	10	.65	11.54286	17.71429	1757.524	0	0	0	1	3.27619	28.72381	1.05
"Nov 1991"	1991	11	.71	11.54286	17.71429	1738.352	0	0	0	1	3.295238	28.72381	1.05
"Dec 1991"	1991	12	.77	11.54286	17.71429	1815.238	0	0	0	1	3.12381	28.72381	1.05
"Jan 1992"	1992	1	.59	11.54286	17.71429	1822.41	1	0	0	0	3.028571	29.25714	1.05
"Feb 1992"	1992	2	.71	11.43396	17.89623	1676.604	1	0	0	0	2.971698	28.98113	1.06
"Mar 1992"	1992	3	.74	11.43396	17.89623	1737.613	1	0	0	0	2.981132	29.14151	1.06
"Apr 1992"	1992	4	.81	11.43396	18.07547	1791.575	0	1	0	0	3.009434	29.49057	1.06
"May 1992"	1992	5	.64	11.43396	18.07547	1787.991	0	1	0	0	2.90566	29.49057	1.06
"Jun 1992"	1992	6	.68	11.54717	18.07547	1775.094	0	1	0	0	2.924528	29.49057	1.06
"Jul 1992"	1992	7	.63	11.3271	17.72897	1797.505	0	0	1	0	2.663551	29.42991	1.07
"Aug 1992"	1992	8	.68	11.22222	17.39815	1703.519	0	0	1	0	2.425926	29.15741	1.08
"Sep 1992"	1992	9	.69	11.11111	17.56481	1741.296	0	0	1	0	2.287037	29.24074	1.08
"Oct 1992"	1992	10	.7	11.22222	17.56481	1811.481	0	0	0	1	2.287037	29.26852	1.08
"Nov 1992"	1992	11	.78	11.3271	17.56075	1738.131	0	0	0	1	2.280374	29.54206	1.07
"Dec 1992"	1992	12	.81	11.43396	17.72642	1942.83	0	0	0	1	2.45283	29.82075	1.06
"Jan 1993"	1993	1	.74	11.21495	17.56075	1757.505	1	0	0	0	2.485981	29.96262	1.07
"Feb 1993"	1993	2	.63	11.22222	17.39815	1659.509	1	0	0	0	2.648148	29.68519	1.08
"Mar 1993"	1993	3	.75	11.00917	17.23853	1790.394	1	0	0	0	2.688073	29.52294	1.09
"Apr 1993"	1993	4	.66	11.00917	17.23853	1821.899	0	1	0	0	2.642202	29.77982	1.09
"May 1993"	1993	5	.68	11.00917	17.57798	1789.294	0	1	0	0	2.559633	29.77982	1.09
"Jun 1993"	1993	6	.65	11.22222	17.74074	1848.028	0	1	0	0	2.638889	30.08333	1.08
"Jul 1993"	1993	7	.63	11.11927	17.57798	1848.009	0	0	1	0	2.87156	29.88991	1.09
"Aug 1993"	1993	8	.74	11.01818	17.58182	1735.209	0	0	1	0	2.672727	29.61818	1.1
"Sep 1993"	1993	9	.76	11.35135	17.26126	1764.324	0	0	1	0	2.81982	29.43243	1.11
"Oct 1993"	1993	10	.65	11.46847	17.42342	1785.288	0	0	0	1	2.81982	29.43243	1.11
"Nov 1993"	1993	11	.71	11.35135	17.42342	1756.577	0	0	0	1	2.873874	29.43243	1.11
"Dec 1993"	1993	12	.81	11.45455	17.58182	1889.755	0	0	0	1	3.090909	29.7	1.1
"Jan 1994"	1994	1	.76	11.45455	17.58182	1805.027	1	0	0	0	3.127273	29.92727	1.1
"Feb 1994"	1994	2	.59	11.9009	17.42342	1708.649	1	0	0	0	3.279279	29.65766	1.11
"Mar 1994"	1994	3	.59	11.90179	17.10714	1854.884	1	0	0	0	3.1875	29.39286	1.12
"Apr 1994"	1994	4	.77	11.90179	17.26786	1857.616	0	1	0	0	3.196429	29.36607	1.12
"May 1994"	1994	5	.67	11.90179	17.10714	1814.643	0	1	0	0	3.3125	29.36607	1.12
"Jun 1994"	1994	6	.7	12.55357	17.10714	1883.098	0	1	0	0	3.357143	29.36607	1.12
"Jul 1994"	1994	7	.77	13.95536	17.4375	1841.67	0	0	1	0	3.955357	29.41964	1.12
"Aug 1994"	1994	8	.63	16.0885	17.45133	1797.46	0	0	1	0	4.80531	29.15929	1.13
"Sep 1994"	1994	9	.61	16.30088	17.45133	1825.841	0	0	1	0	4.902655	29.15929	1.13
"Oct 1994"	1994	10	.74	17.2193	17.29825	1800.061	0	0	0	1	6.140351	28.92982	1.14
"Nov 1994"	1994	11	.62	17.59292	17.45133	1815.69	0	0	0	1	6.292035	29.18584	1.13
"Dec 1994"	1994	12	.63	17.69912	17.45133	1928.673	0	0	0	1	6.221239	29.18584	1.13
"Jan 1995"	1995	1	.66	16.51327	17.61062	1805.018	1	0	0	0	6.353982	29.44248	1.13
"Feb 1995"	1995	2	.58	16.26316	17.29825	1708.184	1	0	0	0	5.885965	29.18421	1.14
"Mar 1995"	1995	3	.61	16.26316	17.29825	1891.053	1	0	0	0	5.631579	29.20175	1.14
"Apr 1995"	1995	4	.66	16.15789	17.45614	1843.096	0	1	0	0	5.473684	29.25439	1.14
"May 1995"	1995	5	.68	16.26316	17.45614	1847.544	0	1	0	0	5.192982	29.25439	1.14
"Jun 1995"	1995	6	.59	16.15789	17.29825	1931.465	0	1	0	0	5.140351	29.2807	1.14
"Jul 1995"	1995	7	.64	16.26316	17.45614	1869.298	0	0	1	0	5.201754	29.2807	1.14
"Aug 1995"	1995	8	.52	15.94737	17.62281	1849.412	0	0	1	0	5.105263	29.2807	1.14
"Sep 1995"	1995	9	.81	15.49565	17.30435	1850.67	0	0	1	0	5.095652	29.02609	1.15
"Oct 1995"	1995	10	.75	14.86087	17.46957	1825.391	0	0	0	1	5.017391	29.05217	1.15
"Nov 1995"	1995	11	.71	14.54783	17.30435	1842.322	0	0	0	1	4.521739	29.05217	1.15
"Dec 1995"	1995	12	.85	14.54783	17.46957	1938.957	0	0	0	1	4.330435	29.05217	1.15
"Jan 1996"	1996	1	.6	13.70435	17.30435	1867.826	1	0	0	0	4.173913	29.27826	1.15
"Feb 1996"	1996	2	.64	13.58621	17.15517	1795.802	1	0	0	0	3.913793	29.02586	1.16
"Mar 1996"	1996	3	.59	13.47009	17.00855	1892.932	1	0	0	0	3.786325	28.79487	1.17
"Apr 1996"	1996	4	.74	13.35897	16.69231	1880.744	0	1	0	0	3.854701	29.01709	1.17
"May 1996"	1996	5	.59	13.35897	16.8547	1911.624	0	1	0	0	3.820513	29.01709	1.17
"Jun 1996"	1996	6	.67	13.58621	17	1948.733	0	1	0	0	4.181034	29.26724	1.16
"Jul 1996"	1996	7	.64	13.35897	16.69231	1912.88	0	0	1	0	4.076923	29.18803	1.17
"Aug 1996"	1996	8	.59	13.47414	16.83621	1917.586	0	0	1	0	4	29.43966	1.16
"Sep 1996"	1996	9	.74	13.35897	16.69231	1849.684	0	0	1	0	3.974359	29.18803	1.17
"Oct 1996"	1996	10	.74	13.24576	16.38983	1897.059	0	0	0	1	3.889831	28.99153	1.18
"Nov 1996"	1996	11	.72	13.04237	17.02542	1874.466	0	0	0	1	3.788136	28.99153	1.18
"Dec 1996"	1996	12	.83	12.83898	17.17797	1946.78	0	0	0	1	3.737288	28.9661	1.18
